               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  61,            0.020316,            0.032056,            0.011096,             0.92335,             0.65562,             0.67599,             0.54833,            0.023981,           0.0047241,           0.0071676,           0.0041094,           0.0041094,           0.0041094
                  62,            0.020213,            0.031812,            0.010787,             0.92859,             0.65273,             0.67696,              0.5496,            0.023905,            0.004701,           0.0071383,           0.0039757,           0.0039757,           0.0039757
                  63,            0.019942,            0.031581,            0.010715,             0.92109,             0.66081,             0.67816,             0.55058,            0.023815,           0.0046797,           0.0071532,           0.0038434,           0.0038434,           0.0038434
                  64,            0.019851,            0.031578,            0.010663,             0.91913,             0.66291,              0.6787,             0.55162,            0.023733,           0.0046677,           0.0071392,           0.0037128,           0.0037128,           0.0037128
                  65,            0.019599,            0.031087,            0.010423,             0.92777,             0.65805,             0.67927,             0.55272,            0.023628,           0.0046542,           0.0070979,            0.003584,            0.003584,            0.003584
                  66,            0.019462,            0.031154,             0.01026,             0.92898,             0.65791,             0.68014,             0.55317,            0.023537,           0.0046431,           0.0070572,            0.003457,            0.003457,            0.003457
                  67,             0.01947,            0.030747,            0.010153,              0.9268,             0.66073,             0.68089,             0.55371,            0.023459,           0.0046278,           0.0070412,           0.0033321,           0.0033321,           0.0033321
                  68,            0.019278,            0.030634,            0.010137,             0.92902,             0.66212,             0.68221,             0.55443,            0.023385,           0.0046122,           0.0070232,           0.0032093,           0.0032093,           0.0032093
                  69,            0.019143,            0.030592,           0.0099183,             0.93411,              0.6594,             0.68282,             0.55544,            0.023324,           0.0045998,            0.007001,           0.0030888,           0.0030888,           0.0030888
                  70,            0.018958,            0.030146,           0.0096655,             0.93452,             0.66051,             0.68298,             0.55634,            0.023279,           0.0045875,           0.0069666,           0.0029706,           0.0029706,           0.0029706
                  71,            0.018753,            0.029881,           0.0095853,             0.93675,             0.65964,             0.68386,             0.55665,            0.023236,            0.004574,           0.0069597,            0.002855,            0.002855,            0.002855
                  72,            0.018614,            0.029745,           0.0093569,             0.92512,             0.66921,             0.68459,             0.55768,            0.023183,           0.0045623,           0.0069588,           0.0027419,           0.0027419,           0.0027419
                  73,            0.018529,            0.029568,           0.0093052,             0.92325,             0.67199,             0.68531,             0.55785,            0.023141,            0.004551,            0.006947,           0.0026316,           0.0026316,           0.0026316
